A,B,name
0.32035428540460087,0.7611190399812747,100% Bran
-0.03922438472150234,0.6483105836543631,100% Natural Bran
0.8216151143361163,-0.25001414427056046,All-Bran
1.0274429864598695,0.09111693074118475,All-Bran with Extra Fiber
-0.09731619393648117,0.17998216904162465,Almond Delight
-0.7973355176765654,-0.22268103349931062,Apple Cinnamon Cheerios
0.5703125559842186,-0.5340221438889945,Apple Jacks
-0.7647928605643157,-0.28177069197828347,Basic 4
0.035228618916460085,0.3096588666263425,Bran Chex
0.12998018294551728,0.41744789484872014,Bran Flakes
-0.1573904313666745,0.2182608856274978,Cap'n'Crunch
-0.6895102152306057,-0.08909981605382089,Cheerios
-0.8863336828683082,-0.3095349810753545,Cinnamon Toast Crunch
-0.7034304626973742,-0.0799720004545371,Clusters
-0.8481370407218493,-0.32973209629380934,Cocoa Puffs
-0.04932891590782891,0.16886298373467631,Corn Chex
0.6117057041322809,-0.4732317065349301,Corn Flakes
0.5791806400708119,-0.4811368707837958,Corn Pops
-0.8465758689663928,-0.3296613442642924,Count Chocula
0.6404604722684838,-0.34672779128848374,Cracklin' Oat Bran
0.21613198845950765,0.9058075840777752,Cream of Wheat (Quick)
0.6253989715247701,-0.4345947072485455,Crispix
-0.7248106521469756,-0.1438974654733339,Crispy Wheat & Raisins
0.015487084748507686,0.2788104732117282,Double Chex
0.5492961434575957,-0.5190567576360497,Froot Loops
0.5524863647627841,-0.5791938513882287,Frosted Flakes
0.7666505726633491,-0.1773141775340831,Frosted Mini-Wheats
0.031245302646429395,0.26774787933335814,Fruit & Fibre Dates; Walnuts; and Oats
0.6541111766269279,-0.6082514572182158,Fruitful Bran
-0.08396713540123177,0.20109908606878968,Fruity Pebbles
-0.011137348765969711,0.29363198675648344,Golden Crisp
-0.8474956248092848,-0.35955713201933376,Golden Grahams
0.07087670625422127,0.4361054207374532,Grape Nuts Flakes
0.12715243426865433,0.44353796934801865,Grape-Nuts
0.05773715010399346,0.4966278632456799,Great Grains Pecan
-0.14729425581863562,0.24203960245720996,Honey Graham Ohs
-0.7721200109062684,-0.2738062216776511,Honey Nut Cheerios
-0.0961670261464302,0.15278620064265072,Honey-comb
0.5618524807106573,-0.6260288168886678,Just Right Crunchy  Nuggets
0.5744865861850571,-0.7478008987880926,Just Right Fruit & Nut
-0.8003903242014445,-0.22469603474954553,Kix
0.05021785529533429,0.5612733727592759,Life
-0.8175880302117449,-0.28580029770795895,Lucky Charms
0.13759865972566596,0.6018020933490247,Maypo
-0.044955202711626875,0.21766795377679962,Muesli Raisins; Dates; & Almonds
-0.06981700020300115,0.1548585033893285,Muesli Raisins; Peaches; & Pecans
0.5637670551938432,-0.6738180290388268,Mueslix Crispy Blend
-0.7423602660876145,-0.1686215187360711,Multi-Grain Cheerios
0.5502906816203321,-0.5415853578449211,Nut&Honey Crunch
0.5978290665518085,-0.571035177728141,Nutri-Grain Almond-Raisin
0.7313367333276914,-0.26167854958551123,Nutri-grain Wheat
-0.7616418409836739,-0.2591901814008934,Oatmeal Raisin Crisp
0.035477318552685426,0.15178826515620863,Post Nat. Raisin Bran
0.5808278141527211,-0.6897443225896969,Product 19
0.1487430082156816,0.9895062407825327,Puffed Rice
0.18604267616374995,1.0285896111318629,Puffed Wheat
0.10057058422185806,0.5880081509217312,Quaker Oat Squares
0.20952079929403775,1.1127028931784482,Quaker Oatmeal
0.6433178772682339,-0.5806097727916242,Raisin Bran
-0.6927332055931521,-0.06946455379142624,Raisin Nut Bran
0.7649721730211101,-0.16384252999712134,Raisin Squares
-0.051800599851606,0.204190628192963,Rice Chex
0.5819716248321251,-0.5279835713564475,Rice Krispies
0.25862436927194876,0.9247411268848291,Shredded Wheat
0.31800562692214807,0.9265530449252469,Shredded Wheat 'n'Bran
0.3023176428514841,0.9129266070765274,Shredded Wheat spoon size
0.5706406974389898,-0.4852743785963927,Smacks
0.7083713816211094,-0.34531589617967007,Special K
0.19322766956041643,0.7022896616096461,Strawberry Fruit Wheats
-0.7811485939188766,-0.32712057434736913,Total Corn Flakes
-0.7825372785435677,-0.5854193647085478,Total Raisin Bran
-0.7022435398934569,-0.23868598923966322,Total Whole Grain
-0.7533285953323008,-0.18717935723677553,Triples
-0.8256301939480988,-0.26538995600619103,Trix
0.04390848498393651,0.32172031551229974,Wheat Chex
-0.6666944862349306,-0.05076770200110308,Wheaties
-0.7615365366499344,-0.21126266688928103,Wheaties Honey Gold
