calories,carbo,cups,fat,fiber,potass,protein,rating,sodium,sugars,vitamins,weight,mfr_G,mfr_K,mfr_N,mfr_P,mfr_Q,mfr_R,type_H,name
0.18181818181818182,0.24999999999999997,0.064,0.2,0.7142857142857142,0.8489425981873111,0.6000000000000001,0.6655927863239148,0.40625,0.4375,0.25,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,100% Bran
0.6363636363636362,0.375,0.6000000000000001,1.0,0.14285714285714285,0.41087613293051356,0.4000000000000001,0.21068455959718047,0.046875,0.5625,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,100% Natural Bran
0.18181818181818182,0.3333333333333333,0.064,0.2,0.6428571428571428,0.9697885196374622,0.6000000000000001,0.5469406126803764,0.8125,0.375,0.25,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,All-Bran
0.0,0.375,0.2,0.0,1.0,1.0,0.6000000000000001,1.0,0.4375,0.0625,0.25,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,All-Bran with Extra Fiber
0.5454545454545454,0.6249999999999999,0.4000000000000001,0.4,0.07142857142857142,0.0,0.2,0.21598660919374107,0.625,0.5625,0.25,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Almond Delight
0.5454545454545454,0.4791666666666667,0.4000000000000001,0.4,0.10714285714285714,0.21450151057401812,0.2,0.1515513831958662,0.5625,0.6875,0.25,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Apple Cinnamon Cheerios
0.5454545454545454,0.5,0.6000000000000001,0.0,0.07142857142857142,0.09365558912386707,0.2,0.19998454707703506,0.390625,0.9375,0.25,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Apple Jacks
0.7272727272727271,0.7916666666666666,0.4000000000000001,0.4,0.14285714285714285,0.3051359516616314,0.4000000000000001,0.25105992024192947,0.65625,0.5625,0.25,0.8300000000000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Basic 4
0.3636363636363636,0.6666666666666666,0.336,0.2,0.2857142857142857,0.3806646525679758,0.2,0.41073956470733736,0.625,0.4375,0.25,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Bran Chex
0.3636363636363636,0.5833333333333333,0.336,0.0,0.3571428571428571,0.5770392749244713,0.4000000000000001,0.46616443609697605,0.65625,0.375,0.25,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Bran Flakes
0.6363636363636362,0.5416666666666666,0.4000000000000001,0.4,0.0,0.10876132930513595,0.0,0.0,0.6875,0.8125,0.25,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Cap'n'Crunch
0.5454545454545454,0.7499999999999999,0.8,0.4,0.14285714285714285,0.3202416918429003,1.0000000000000002,0.4324776191333198,0.90625,0.125,0.25,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheerios
0.6363636363636362,0.5833333333333333,0.4000000000000001,0.6000000000000001,0.0,0.13897280966767372,0.0,0.02353520346214205,0.65625,0.625,0.25,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Cinnamon Toast Crunch
0.5454545454545454,0.5833333333333333,0.2,0.4,0.14285714285714285,0.3202416918429003,0.4000000000000001,0.2954896642321176,0.4375,0.5,0.25,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Clusters
